Protocol,Sector,Source,Year,GHG Emissions (mt CO2e)
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2010,18626.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2011,18454.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2012,18926.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2013,19358.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2014,20832.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2015,20995.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2016,18640.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2017,17166.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2018,16343.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2019,15423.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2005,1702810.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2006,1704181.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2007,1746063.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2008,1674556.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2009,1637330.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2010,1644095.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2011,1641156.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2012,1593701.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2013,1648512.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2014,1605918.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2015,1689830.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2016,1670189.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2017,1616859.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2018,1679455.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2019,1677381.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2005,16821.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2006,16693.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2007,16894.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2008,17089.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2009,17384.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2010,17282.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2011,17414.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2012,17636.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2013,17887.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2014,17919.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2015,17923.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2016,17404.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2017,17363.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2018,17549.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2019,18321.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Compost,2018,698.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Compost,2019,699.00
